iter	Passed	Remaining
0	152	152827
1	158	79334
2	162	54007
3	164	41012
4	167	33256
5	171	28420
6	175	24833
7	177	22022
8	179	19804
9	182	18101
10	188	16981
11	192	15850
12	194	14766
13	197	13940
14	203	13367
15	205	12663
16	208	12035
17	210	11505
18	213	11039
19	216	10625
20	220	10257
21	224	9959
22	231	9827
23	234	9521
24	236	9235
25	241	9034
26	243	8785
27	245	8533
28	250	8397
29	253	8210
30	257	8045
31	259	7859
32	261	7673
33	263	7483
34	264	7302
35	266	7134
36	269	7012
37	271	6876
38	273	6749
39	275	6611
40	276	6478
41	278	6353
42	280	6234
43	284	6188
44	286	6079
45	288	5977
46	290	5884
47	291	5787
48	293	5692
49	294	5602
50	298	5563
51	300	5480
52	302	5413
53	305	5346
54	307	5277
55	309	5209
56	313	5194
57	316	5137
58	318	5082
59	320	5015
60	321	4952
61	323	4891
62	328	4880
63	331	4850
64	333	4798
65	335	4747
66	337	4697
67	341	4681
68	343	4630
69	344	4579
70	346	4533
71	348	4491
72	350	4445
73	351	4399
74	353	4360
75	356	4332
76	357	4290
77	359	4249
78	361	4214
79	362	4174
80	364	4134
81	365	4096
82	366	4052
83	372	4063
84	374	4032
85	377	4006
86	379	3977
87	380	3948
88	386	3954
89	389	3941
90	392	3925
91	395	3902
92	401	3916
93	405	3903
94	407	3884
95	409	3854
96	410	3824
97	412	3794
98	416	3792
99	418	3766
100	420	3743
101	422	3716
102	423	3689
103	425	3662
104	426	3636
105	428	3611
106	431	3600
107	432	3575
108	434	3551
109	436	3529
110	438	3508
111	439	3485
112	441	3462
113	442	3439
114	445	3430
115	447	3409
116	448	3388
117	450	3367
118	452	3346
119	453	3325
120	455	3305
121	456	3283
122	459	3278
123	461	3260
124	462	3240
125	465	3228
126	466	3209
127	468	3192
128	470	3176
129	476	3188
130	478	3172
131	479	3155
132	481	3138
133	482	3121
134	484	3105
135	486	3089
136	488	3078
137	490	3062
138	491	3046
139	493	3030
140	494	3013
141	495	2994
142	497	2978
143	498	2962
144	500	2949
145	502	2938
146	503	2924
147	505	2910
148	506	2895
149	508	2880
150	509	2865
151	511	2853
152	513	2843
153	516	2838
154	519	2830
155	520	2818
156	522	2804
157	524	2792
158	525	2779
159	527	2767
160	527	2750
161	529	2736
162	530	2721
163	531	2706
164	533	2698
165	534	2686
166	535	2671
167	536	2657
168	537	2644
169	538	2630
170	539	2617
171	540	2603
172	541	2589
173	542	2576
174	543	2562
175	544	2549
176	545	2535
177	547	2526
178	548	2517
179	549	2504
180	550	2492
181	551	2480
182	553	2470
183	554	2458
184	555	2446
185	556	2435
186	557	2423
187	558	2411
188	559	2399
189	560	2387
190	562	2380
191	564	2375
192	566	2366
193	567	2356
194	568	2347
195	569	2337
196	571	2327
197	572	2317
198	573	2306
199	574	2297
200	575	2286
201	577	2280
202	578	2270
203	579	2259
204	579	2249
205	580	2238
206	581	2229
207	583	2221
208	584	2212
209	585	2202
210	586	2192
211	587	2183
212	588	2173
213	588	2162
214	589	2152
215	591	2148
216	594	2144
217	595	2136
218	596	2127
219	597	2118
220	598	2109
221	599	2100
222	599	2090
223	600	2080
224	601	2071
225	601	2061
226	602	2052
227	603	2042
228	603	2033
229	604	2024
230	606	2018
231	608	2013
232	610	2010
233	611	2003
234	613	1996
235	614	1987
236	614	1979
237	615	1970
238	616	1961
239	616	1952
240	617	1944
241	618	1935
242	618	1927
243	619	1919
244	620	1913
245	622	1906
246	623	1899
247	623	1891
248	624	1883
249	625	1876
250	626	1869
251	627	1862
252	628	1855
253	629	1847
254	629	1840
255	631	1833
256	632	1827
257	632	1820
258	633	1812
259	634	1805
260	636	1802
261	637	1795
262	638	1788
263	638	1780
264	639	1773
265	640	1766
266	641	1761
267	642	1754
268	643	1747
269	644	1741
270	644	1734
271	645	1727
272	646	1720
273	646	1713
274	647	1706
275	648	1700
276	648	1693
277	650	1689
278	651	1684
279	652	1678
280	653	1671
281	653	1665
282	654	1658
283	655	1652
284	655	1645
285	656	1639
286	657	1633
287	658	1627
288	659	1621
289	659	1615
290	660	1609
291	661	1603
292	661	1597
293	662	1591
294	663	1585
295	664	1579
296	666	1576
297	666	1571
298	667	1565
299	668	1559
300	669	1553
301	669	1548
302	670	1543
303	671	1538
304	673	1535
305	674	1530
306	675	1525
307	676	1519
308	677	1514
309	678	1509
310	679	1504
311	680	1499
312	682	1498
313	683	1493
314	684	1487
315	685	1483
316	686	1478
317	686	1472
318	687	1467
319	688	1462
320	688	1456
321	689	1451
322	690	1446
323	690	1441
324	691	1436
325	692	1431
326	692	1425
327	693	1421
328	695	1417
329	696	1414
330	697	1409
331	698	1404
332	698	1399
333	699	1395
334	700	1390
335	700	1385
336	701	1380
337	702	1375
338	703	1370
339	703	1366
340	704	1361
341	705	1356
342	705	1351
343	706	1346
344	707	1342
345	707	1337
346	710	1336
347	711	1332
348	712	1328
349	712	1323
350	713	1319
351	714	1314
352	714	1310
353	715	1305
354	716	1301
355	716	1296
356	717	1292
357	718	1287
358	718	1283
359	719	1279
360	720	1274
361	720	1270
362	721	1266
363	722	1262
364	722	1257
365	726	1257
366	726	1253
367	727	1249
368	728	1245
369	728	1241
370	729	1237
371	730	1232
372	731	1228
373	731	1224
374	732	1220
375	733	1216
376	733	1212
377	734	1208
378	735	1204
379	735	1200
380	736	1196
381	737	1192
382	738	1188
383	740	1188
384	741	1184
385	742	1180
386	742	1176
387	743	1172
388	744	1169
389	744	1165
390	745	1161
391	746	1157
392	747	1153
393	747	1150
394	748	1146
395	749	1142
396	749	1138
397	750	1135
398	751	1131
399	751	1127
400	753	1124
401	757	1126
402	758	1123
403	759	1121
404	760	1117
405	761	1113
406	762	1110
407	762	1106
408	763	1103
409	764	1099
410	764	1095
411	765	1092
412	766	1088
413	767	1086
414	768	1083
415	771	1083
416	773	1081
417	774	1078
418	777	1077
419	778	1074
420	781	1074
421	782	1071
422	783	1068
423	787	1069
424	788	1066
425	789	1064
426	791	1061
427	792	1058
428	793	1055
429	793	1052
430	794	1049
431	795	1045
432	795	1042
433	796	1038
434	797	1035
435	798	1032
436	799	1029
437	801	1027
438	801	1024
439	802	1021
440	803	1018
441	804	1015
442	804	1012
443	805	1008
444	806	1005
